BVDID,nace_main_section,nace_core_code,NACE_prim,NACE_sec
DEFEB16697,K - Financial and insurance activities,6420.0,6420.0,
DEFEB16697,,,,
DEFEB19978,K - Financial and insurance activities,6499.0,6499.0,6419.0
DEFEB19978,,,,
DEFEB29867,K - Financial and insurance activities,6419.0,6419.0,6492.0
DEFEB29867,,,,6499.0
DEFEB29867,,,,6612.0
DEFEB29867,,,,6619.0
DK10413494,J - Information and communication,6020.0,6020.0,
DK15634294,Q - Human health and social work activities,8899.0,8899.0,
DK50020010,K - Financial and insurance activities,6419.0,6419.0,6492.0
DK50020010,,,,6499.0
DK50020010,,,,6612.0
DK50020010,,,,6619.0
EE10076042,H - Transportation and storage,5110.0,5110.0,
EE10076042,,,,
ESA01003946,C - Manufacturing,2420.0,2420.0,
ESA28013225,C - Manufacturing,1711.0,1711.0,1712.0
ESA28013225,,,,
ESA28399970,J - Information and communication,5811.0,5811.0,5819.0
ESA33000837,B - Mining and quarrying,510.0,510.0,
ESA33000837,,,,
ESA41002353,C - Manufacturing,2341.0,2341.0,3299.0
ESA41002353,,,,
ESA48010466,C - Manufacturing,2891.0,2891.0,2521.0
ESA48010466,,,,2529.0
ESA48010466,,,,
ESA48010466,,,,
ESA81385486,C - Manufacturing,2060.0,2060.0,3511.0
ESA81385486,,,,
ESA81385486,,,,
ESA81385486,,,,
ESA81385486,,,,
ESA81385486,,,,
ESA81385486,,,,
ESA81385486,,,,
ESB62714233,S - Other service activities,9521.0,9521.0,3319.0
ESB62714233,,,,9512.0
ESB82300567,C - Manufacturing,1083.0,1083.0,6420.0
ESB82300567,,,,
ESB82300567,,,,
ESB91668137,C - Manufacturing,3030.0,3030.0,2932.0
ESB91668137,,,,
ESB91668137,,,,
FI01651059,C - Manufacturing,1013.0,1013.0,
FI01651059,,,,
FI19449203,H - Transportation and storage,5110.0,5110.0,
FI19449203,,,,
FR304992993,L - Real estate activities,6820.0,6820.0,
FR304992993,,,,
FR304992993,,,,
FR304992993,,,,
FR304992993,,,,
FR304992993,,,,
FR314988890,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4759.0,4759.0,
FR314988890,,,,
FR352973622,C - Manufacturing,1812.0,1812.0,
FR370501447,C - Manufacturing,3011.0,3011.0,
FR377524319,H - Transportation and storage,5020.0,5020.0,
FR377524319,,,,
FR377524319,,,,
FR389058447,C - Manufacturing,3020.0,3020.0,3099.0
FR389058447,,,,5221.0
FR389191800,C - Manufacturing,2712.0,2712.0,
FR389191800,,,,
FR440303196,C - Manufacturing,2751.0,2751.0,
FR440303196,,,,
FR440303196,,,,
FR484572060,K - Financial and insurance activities,6420.0,6420.0,
FR484572060,,,,
FR484572060,,,,
FR493467849,C - Manufacturing,3020.0,3020.0,7010.0
FR493467849,,,,
